ID,Group,Question
344,Fire Prevention and Operational Practices,What is a "Parallel Attack"?
345,Fire Prevention and Operational Practices,What is a "safety zone"?
346,Fire Prevention and Operational Practices,How does an "escape route" differ from a safety zone?
347,Fire Prevention and Operational Practices,What is the "Black" in fire suppression terms?
348,Fire Prevention and Operational Practices,Which tool is a combination of an axe and a mattock?
349,Fire Prevention and Operational Practices,What is the primary use of a McLeod tool?
350,Fire Prevention and Operational Practices,How much water does a typical Type 3 wildland engine carry?
351,Fire Prevention and Operational Practices,What is the minimum pump flow for a Type 6 engine?
352,Fire Prevention and Operational Practices,Which aircraft is considered a "Very Large Airtanker" (VLAT)?
353,Fire Prevention and Operational Practices,What is the capacity of a SEAT (Single Engine Airtanker)?
354,Fire Prevention and Operational Practices,How does a "gravity drop" system differ from a "pressurized" system?
355,Fire Prevention and Operational Practices,What is "pump and roll"?
356,Fire Prevention and Operational Practices,Which pump model is known as the "Mark-3"?
357,Fire Prevention and Operational Practices,What type of engine does the Mark-3 pump use?
358,Fire Prevention and Operational Practices,What is the maximum pressure of a Mark-3 pump?
359,Fire Prevention and Operational Practices,Which NFPA standard covers "Wildland Firefighter Professional Qualifications"?
360,Fire Prevention and Operational Practices,What is a "drip torch" used for?
361,Fire Prevention and Operational Practices,What is the standard fuel mixture for a drip torch?
362,Fire Prevention and Operational Practices,Which hand tool is used for swatting out flames in grass?
363,Fire Prevention and Operational Practices,What is a "bladder bag"?
364,Fire Prevention and Operational Practices,How many gallons does a standard backpack pump hold?
365,Fire Prevention and Operational Practices,What is a "progressive hose lay"?
366,Fire Prevention and Operational Practices,Which fitting divides one hose line into two?
367,Fire Prevention and Operational Practices,What is a "water tender"?
368,Fire Prevention and Operational Practices,How much water does a Tactical Water Tender (Type 1) carry?
369,Fire Prevention and Operational Practices,What is "Class A foam"?
370,Fire Prevention and Operational Practices,How does a "retardant" differ from a "suppressant"?
371,Fire Prevention and Operational Practices,What is the color of standard long-term fire retardant?
372,Fire Prevention and Operational Practices,Which aircraft is known as the "Super Scooper"?
373,Fire Prevention and Operational Practices,What is the "MAFFS" system?
374,Fire Prevention and Operational Practices,Which military aircraft carries the MAFFS unit?
375,Fire Prevention and Operational Practices,What is a "helitack" crew?
376,Fire Prevention and Operational Practices,Which bucket is commonly underslung on helicopters?
377,Fire Prevention and Operational Practices,What is a "Bambi Bucket"?
378,Fire Prevention and Operational Practices,How does "short-haul" rescue work?
379,Fire Prevention and Operational Practices,What is a "smokejumper"?
380,Fire Prevention and Operational Practices,Which agency manages the majority of US smokejumpers?
381,Fire Prevention and Operational Practices,What is a "hotshot" crew?
382,Fire Prevention and Operational Practices,How many individuals are typically on a Type 1 Interagency Hotshot Crew?
383,Fire Prevention and Operational Practices,What is the "pack test" or "arduous work capacity test"?
384,Fire Prevention and Operational Practices,How much weight must be carried in the pack test?
385,Fire Prevention and Operational Practices,What is the time limit for the 3-mile pack test?
386,Fire Prevention and Operational Practices,Which NFPA standard covers "Protective Clothing and Equipment for Wildland Fire Fighting"?
387,Fire Prevention and Operational Practices,What material is wildland fire clothing typically made of?
388,Fire Prevention and Operational Practices,What is a "fire shelter"?
389,Fire Prevention and Operational Practices,How does a fire shelter protect a firefighter?
390,Fire Prevention and Operational Practices,What is the "deployment" of a fire shelter?
391,Fire Prevention and Operational Practices,Which term describes a fire that has crossed the control line?
392,Fire Prevention and Operational Practices,What is a "slopover"?
393,Fire Prevention and Operational Practices,How does "mop-up" differ from suppression?
394,Fire Prevention and Operational Practices,What is "cold trailing"?
395,Fire Prevention and Operational Practices,Which tactic involves burning out fuel between the control line and the fire?
396,Fire Prevention and Operational Practices,What is a "backfire"?
397,Fire Prevention and Operational Practices,How does a backfire differ from a "burnout"?
398,Fire Prevention and Operational Practices,What is an "anchor point"?
399,Fire Prevention and Operational Practices,Why is an anchor point necessary for fireline construction?
400,Fire Prevention and Operational Practices,What is "scratch line"?
401,Fire Prevention and Operational Practices,How does "wet line" differ from hand line?
402,Fire Prevention and Operational Practices,What is a "dozer line"?
403,Fire Prevention and Operational Practices,Which heavy equipment is best for constructing line in timber?
404,Fire Prevention and Operational Practices,What is "felling" a snag?
405,Fire Prevention and Operational Practices,Why are snags dangerous to firefighters?
406,Fire Prevention and Operational Practices,What is "widowmaker" in forestry terms?
407,Fire Prevention and Operational Practices,Which knot is used to secure hose?
408,Fire Prevention and Operational Practices,What is a "hose clamp" used for?
409,Fire Prevention and Operational Practices,How does "friction loss" affect hose lays?
410,Fire Prevention and Operational Practices,What is "head pressure"?
411,Fire Prevention and Operational Practices,Which valve is used to prevent backflow?
412,Fire Prevention and Operational Practices,What is a "wye" valve?
413,Fire Prevention and Operational Practices,How does a "siamese" connection differ from a wye?
414,Fire Prevention and Operational Practices,What is "drafting" water?
415,Fire Prevention and Operational Practices,Which device prevents debris from entering a pump during drafting?
416,Fire Prevention and Operational Practices,What is "cavitation" in a pump?
417,Fire Prevention and Operational Practices,How does elevation affect pump performance?
418,Fire Prevention and Operational Practices,What is "tandem pumping"?
419,Fire Prevention and Operational Practices,Which nozzle pattern is best for cooling?
420,Fire Prevention and Operational Practices,What is a "straight stream" used for?
421,Fire Prevention and Operational Practices,How does "fog" nozzle affect fire intensity?
422,Fire Prevention and Operational Practices,What is "reel line" on an engine?
423,Fire Prevention and Operational Practices,Which tool is used to measure weather on the fireline?
424,Fire Prevention and Operational Practices,What is a "belt weather kit"?
425,Fire Prevention and Operational Practices,How often should weather be taken on a fire?
426,Fire Prevention and Operational Practices,What is "relative humidity" recovery?
427,Fire Prevention and Operational Practices,Which wind speed is measured at 20 feet above vegetation?
428,Fire Prevention and Operational Practices,What is "eye-level wind speed"?
429,Fire Prevention and Operational Practices,How does "gust factor" influence safety?
430,Fire Prevention and Operational Practices,What is a "red flag warning"?
431,Fire Prevention and Operational Practices,Which agency issues red flag warnings?
432,Fire Prevention and Operational Practices,What is a "fire weather watch"?
433,Fire Prevention and Operational Practices,How does "atmospheric stability" affect smoke column development?
434,Fire Prevention and Operational Practices,What is a "thermal inversion"?
435,Fire Prevention and Operational Practices,How does the breaking of an inversion affect fire behavior?
436,Fire Prevention and Operational Practices,What is the "Wildland-Urban Interface" (WUI)?
437,Fire Prevention and Operational Practices,Which NFPA standard covers "Reducing Structure Ignition Hazards from Wildland Fire"?
438,Fire Prevention and Operational Practices,What is "defensible space"?
439,Fire Prevention and Operational Practices,What is the recommended distance for "Zone 0" (Immediate Zone) in Firewise guidelines?
440,Fire Prevention and Operational Practices,Which zone extends from 5 to 30 feet from the structure?
441,Fire Prevention and Operational Practices,What is the primary goal of Zone 1 management?
442,Fire Prevention and Operational Practices,How far does "Zone 2" typically extend?
443,Fire Prevention and Operational Practices,What is "home hardening"?
444,Fire Prevention and Operational Practices,Which roof rating offers the highest fire resistance?
445,Fire Prevention and Operational Practices,What material is a Class A roof typically made of?
446,Fire Prevention and Operational Practices,How small should vent screens be to prevent ember intrusion?
447,Fire Prevention and Operational Practices,What is "ember attack"?
448,Fire Prevention and Operational Practices,Which part of a house is most vulnerable to embers?
449,Fire Prevention and Operational Practices,What is a "fire-resistant" plant list?
450,Fire Prevention and Operational Practices,Which characteristic makes a plant "fire-hazardous"?
451,Fire Prevention and Operational Practices,What is "Firewise USA"?
452,Fire Prevention and Operational Practices,How does "FireSmart Canada" differ from Firewise?
453,Fire Prevention and Operational Practices,What is the "Home Ignition Zone"?
454,Fire Prevention and Operational Practices,Who developed the concept of the Home Ignition Zone?
455,Fire Prevention and Operational Practices,What is a "community wildfire protection plan" (CWPP)?
456,Fire Prevention and Operational Practices,Which act created the Healthy Forests Restoration Act?
457,Fire Prevention and Operational Practices,What is "fuel modification"?
458,Fire Prevention and Operational Practices,How does "thinning" reduce crown fire potential?
459,Fire Prevention and Operational Practices,What is "pruning" or "limbing up"?
460,Fire Prevention and Operational Practices,Which siding material is considered ignition-resistant?
461,Fire Prevention and Operational Practices,What is "tempered glass" used for in WUI homes?
462,Fire Prevention and Operational Practices,How does "double-pane" glazing improve fire resistance?
463,Fire Prevention and Operational Practices,What is "deck hardening"?
464,Fire Prevention and Operational Practices,Which material should be avoided in Zone 0?
465,Fire Prevention and Operational Practices,What is "mulch" flammability?
466,Fire Prevention and Operational Practices,How does "gravel" serve as a firebreak?
467,Fire Prevention and Operational Practices,What is "fire investigation"?
468,Fire Prevention and Operational Practices,Which publication is the NWCG Guide to Wildland Fire Origin and Cause Determination?
469,Fire Prevention and Operational Practices,What is a "V-pattern" in fire investigation?
470,Fire Prevention and Operational Practices,How does the "angle of char" indicate fire direction?
471,Fire Prevention and Operational Practices,What is "depth of char"?
472,Fire Prevention and Operational Practices,How does "wind" affect V-patterns?
473,Fire Prevention and Operational Practices,What is "spalling" on rocks?
474,Fire Prevention and Operational Practices,How does "soot" deposition indicate direction?
475,Fire Prevention and Operational Practices,What is "staining" on rocks or objects?
476,Fire Prevention and Operational Practices,Which side of a tree is usually charred in an advancing fire?
477,Fire Prevention and Operational Practices,What is "protection" or "shadowing" in fire patterns?
478,Fire Prevention and Operational Practices,How does "grass stem" fall direction indicate fire spread?
479,Fire Prevention and Operational Practices,What is "foliage freeze"?
480,Fire Prevention and Operational Practices,How does "white ash" differ from "black ash" in terms of heat?
481,Fire Prevention and Operational Practices,What is "calcination" of gypsum board?
482,Fire Prevention and Operational Practices,How does "glass crazing" occur?
483,Fire Prevention and Operational Practices,Does crazing always indicate rapid heating?
484,Fire Prevention and Operational Practices,What is "beading" on electrical wires?
485,Fire Prevention and Operational Practices,How does "arc mapping" help in investigation?
486,Fire Prevention and Operational Practices,What is "spontaneous combustion"?
487,Fire Prevention and Operational Practices,Which haystack condition leads to spontaneous combustion?
488,Fire Prevention and Operational Practices,What is "arson"?
489,Fire Prevention and Operational Practices,How does "serial arson" differ from "spree arson"?
490,Fire Prevention and Operational Practices,What is an "incendiary device"?
491,Fire Prevention and Operational Practices,How does "catalytic converter" cause fires?
492,Fire Prevention and Operational Practices,What is "power line" ignition?
493,Fire Prevention and Operational Practices,How does "clashing" conductors cause fire?
494,Fire Prevention and Operational Practices,What is "fugitive emission" from a vehicle?
495,Fire Prevention and Operational Practices,Which chemical is often found in soil after an accelerant is used?
496,Fire Prevention and Operational Practices,What is "hydrocarbon detector" used for?
497,Fire Prevention and Operational Practices,How does "debris burning" cause wildfires?
498,Fire Prevention and Operational Practices,What is a "burn permit"?
499,Fire Prevention and Operational Practices,Which weather condition usually suspends burn permits?
